# Electron neutrino-oxygen scattering cross section 1MeV-200MeV (10^-38 cm^2/GeV) #
# log(energy in GeV)       nu_e       nu_mu       nu_tau       nu_e_bar       nu_mu_bar       nu_tau_bar #

       -0.72354         5.33540e-01          0          0          0          0          0
       -0.72125         5.37600e-01          0          0          0          0          0
       -0.71897         5.41740e-01          0          0          0          0          0
       -0.71670         5.45880e-01          0          0          0          0          0
       -0.71444         5.50020e-01          0          0          0          0          0
       -0.71220         5.54150e-01          0          0          0          0          0
       -0.70997         5.58290e-01          0          0          0          0          0
       -0.70774         5.62430e-01          0          0          0          0          0
       -0.70553         5.66570e-01          0          0          0          0          0
       -0.70333         5.70710e-01          0          0          0          0          0
       -0.70115         5.74850e-01          0          0          0          0          0
       -0.69897         5.78980e-01          0          0          0          0          0
